"Navdanya Foods Pvt. Ltd."
"At.- Govindpur,"
"P.O./Dt.-Bargarh. 768028."
"Odisha. India."
"CIN: U15312OR2000PTC006047"
"Ledger Account"
"From 2017-06-01 to 2017-06-30"

Date,Particulars,"Vch Type","Vch No",Debit,Credit
2017-06-30,"Opening Balance",,,633,
2017-06-05,"PNB CC",0,0,0,500.00
2017-06-05,"Cash at Mill",0,0,200.00,0
2017-06-05,"PNB CC",0,0,0,555.00
2017-06-05,"PNB Current",0,0,200.00,0
2017-06-05,"Cash at Mill",0,0,22.00,0

,,,,633,1055.00
,,,Total,1055,1055.00
"Navdanya Foods Pvt. Ltd."
"At.- Govindpur,"
"P.O./Dt.-Bargarh. 768028."
"Odisha. India."
"CIN: U15312OR2000PTC006047"
"Ledger Account"
"From 2017-06-01 to 2017-06-30"

Date,Particulars,"Vch Type","Vch No",Debit,Credit
2017-06-30,"Opening Balance",,,633,
2017-06-05,"PNB CC",0,0,0,500.00
2017-06-05,"Cash at Mill",0,0,200.00,0
2017-06-05,"PNB CC",0,0,0,555.00
2017-06-05,"PNB Current",0,0,200.00,0
2017-06-05,"Cash at Mill",0,0,22.00,0

,,,,633,1055.00
,,,Total,1055,1055.00
"Navdanya Foods Pvt. Ltd."
"At.- Govindpur,"
"P.O./Dt.-Bargarh. 768028."
"Odisha. India."
"CIN: U15312OR2000PTC006047"
"Ledger Account"
"From 2017-06-01 to 2017-06-30"

Date,Particulars,"Vch Type","Vch No",Debit,Credit
2017-06-30,"Opening Balance",,,633,
2017-06-05,"PNB CC",0,0,0,500.00
2017-06-05,"Cash at Mill",0,0,200.00,0
2017-06-05,"PNB CC",0,0,0,555.00
2017-06-05,"PNB Current",0,0,200.00,0
2017-06-05,"Cash at Mill",0,0,22.00,0

,,,,633,1055.00
,,,Total,1055,1055.00
"Navdanya Foods Pvt. Ltd."
"At.- Govindpur,"
"P.O./Dt.-Bargarh. 768028."
"Odisha. India."
"CIN: U15312OR2000PTC006047"
"Ledger Account"
"From 2017-05-01 to 2017-06-30"

Date,Particulars,"Vch Type","Vch No",Debit,Credit
2017-06-30,"Opening Balance",,,633,
2017-06-05,"PNB CC",0,0,0,500.00
2017-06-05,"Cash at Mill",0,0,200.00,0
2017-06-05,"PNB CC",0,0,0,555.00
2017-06-05,"PNB Current",0,0,200.00,0
2017-06-05,"Cash at Mill",0,0,22.00,0

,,,,633,1055.00
,,,Total,1055,1055.00
